job_title,company_name,location,salary,work_hour
"Associate, Data Engineer (Spring 2023)",Search Discovery Recent Grads,"Cleveland, OH",Estimated $77.4K - $98K a year,unknown
Data Quality Engineer,HRtoGO/OmegaComp HR,"Sacramento, CA 95833 (South Natomas area)",Estimated $81.8K - $104K a year,full-time
Mid-level Product Data Management Engineer,BOEING,"Hybrid remote in Berkeley, MO","$90,100 - $121,900 a year",unknown
Data Engineer,Evaya Data Systems,"Allen, TX",Estimated $109K - $138K a year,unknown
Data Engineer III,DataEconomy,"Dublin, OH 43017",Estimated $109K - $139K a year,unknown
Data Engineer,TheRIIM LLC,"Houston, TX",Estimated $114K - $144K a year,full-time
Senior Data Engineer,SymphonyRM,"Palo Alto, CA 94301 (Professorville area)",Estimated $128K - $162K a year,unknown
Senior Data Engineer - Azure,HCSS,"Hybrid remote in Sugar Land, TX",Estimated $120K - $152K a year,full-time
Sr. Data Engineer,Luma Financial Technologies,"Remote in Cincinnati, OH",Estimated $109K - $138K a year,unknown
Senior Data Engineer,Electric Hydrogen,"Remote in San Carlos, CA 94070",Estimated $156K - $198K a year,unknown
Data Engineer,Omnitech Inc,"Sioux Falls, SD 57108",Estimated $92.7K - $117K a year,full-time
Sr. Data Engineer,NexTek,"Hybrid remote in Shoreview, MN 55126",Estimated $77.4K - $98K a year,full-time
Senior Data Engineer,SymphonyRM,"Palo Alto, CA 94301 (Professorville area)",Estimated $128K - $162K a year,unknown
Senior Data Engineer - Azure,HCSS,"Hybrid remote in Sugar Land, TX",Estimated $120K - $152K a year,full-time
Sr. Data Engineer,Luma Financial Technologies,"Remote in Cincinnati, OH",Estimated $109K - $138K a year,unknown
Sr. Data Engineer,NexTek,"Hybrid remote in Shoreview, MN 55126",Estimated $77.4K - $98K a year,full-time
Senior Data Engineer,Electric Hydrogen,"Remote in San Carlos, CA 94070",Estimated $156K - $198K a year,unknown
Data Engineer,Omnitech Inc,"Sioux Falls, SD 57108",Estimated $92.7K - $117K a year,full-time
Data Engineer,"Global Enterprise Services, LLC","Atlanta, GA 30329","$86,000 - $96,000 a year",full-time
KMAP Data Engineer,University of Arizona,"Tucson, AZ",unknown,full-time
Data Engineer,DocsInk LLC,"Wrightsville Beach, NC 28480","$70,000 - $110,000 a year",full-time
Senior Data Engineer,GeniusRx,"Boca Raton, FL 33431",Estimated $105K - $133K a year,full-time
"Data Engineer, Finance",Notion,"San Francisco, CA 94110 (Mission area)","$130,000 - $250,000 a year",unknown
Data Engineer,Nyla Technology Solutions,"Remote in Washington, DC",Estimated $102K - $129K a year,full-time
Remote Senior Data Engineer,Kforce,"Remote in Pittsburgh, PA 15220",$55 - $70 an hour,contract
Sr. Data Engineers,GSPANN Technologie,"Portland, OR",Estimated $109K - $138K a year,full-time
Senior Data Engineer,DocuSign,"Hybrid remote in San Francisco, CA 94105","$123,700 - $174,700 a year",unknown
Senior Data Engineer,DocuSign,"Hybrid remote in San Francisco, CA 94105","$123,700 - $174,700 a year",unknown
Sr. Data Engineers,GSPANN Technologie,"Portland, OR",Estimated $109K - $138K a year,full-time
Senior Data Engineer,Tater,"Lehi, UT 84043",Estimated $106K - $135K a year,full-time
Data Engineer,Kraft Heinz Company,"Hybrid remote in Chicago, IL",Estimated $94.9K - $120K a year,unknown
Data Research Engineer - Radiology Research,NYU Langone,"New York, NY 10016 (Tudor City area)","$73,771 - $85,000 a year",full-time
"Backend Software Engineer, Data Engineering",Zoox,"Foster City, CA","$164,000 - $234,000 a year",full-time
Data Engineer,Loopback Analytics,"Dallas, TX 75254 (Far North area)",Estimated $109K - $138K a year,full-time
"Senior Data Engineer, Analytics",CLEAR - Corporate,"Hybrid remote in New York, NY","$175,000 - $215,000 a year",unknown
Data Engineer,Oak Ridge National Laboratory,"Oak Ridge, TN 37830",Estimated $96.5K - $122K a year,unknown
Data Analytics Engineer - Cons II,Allstate,"Remote in Chicago, IL","$93,000 - $126,000 a year",unknown
Data Engineers,ANALYTOS,"Austin, TX",Estimated $91K - $115K a year,unknown
Talented Senior Data Engineer,The HT Group,"Hybrid remote in Austin, TX",Estimated $121K - $153K a year,unknown
Clinical Data Configuration Engineer,Takeda Pharmaceutical,"Remote in Boston, MA","$91,700 - $131,000 a year",full-time
AWS Data Engineer II,Shift4,"Remote in Allentown, PA 18109",Estimated $82.4K - $104K a year,full-time
GCP Data Architect/Engineer,Experfy Inc,"San Francisco, CA",Estimated $132K - $167K a year,contract
IT Specialist (Datamgt) Data Engineer,US Bureau of the Fiscal Service,"Remote in Wallops Island, VA","$69,107 - $158,432 a year",full-time
Senior Data Engineer,Reverb,"Chicago, IL 60657 (Lake View area)","$128,000 - $166,000 a year",full-time
Engineer III - Test Data Management (Hybrid Work Schedule),Inland Empire Health Plans,"Rancho Cucamonga, CA 91730","$103,709 - $132,226 a year",full-time
General Engineer/Physical Scientist/Data Scientist,US Environmental Protection Agency,"Hybrid remote in Washington, DC 20004","$64,957 - $102,166 a year",full-time
"Data Engineer I, Data Infrastructure",Horizon,"Deerfield, IL 60015",Estimated $70.1K - $88.8K a year,full-time
Mechanical QAQC Engineer - Data Center,Olsson,"Phoenix, AZ 85020 (Camelback East area)",Estimated $89.6K - $113K a year,full-time
Senior Data Engineer,Grid,"San Francisco, CA 94123 (Marina area)",Estimated $123K - $156K a year,full-time
Data Engineer,proit-inc,"Bellevue, WA","$88,625 - $105,191 a year",full-time
Data Engineer II,Meridian Cooperative,"Hybrid remote in Dunwoody, GA 30338","$85,000 - $95,000 a year",full-time
Data Analyst / Engineer,WELLS FARGO BANK,"Charlotte, NC",unknown,full-time
Data and Analytics Engineer,Whisker,"Auburn Hills, MI 48326",Estimated $117K - $149K a year,unknown
Principal Data Engineer,Schneider Electric,"Andover, MA 01810",Estimated $118K - $150K a year,full-time
Senior Data Engineer,BrainPOP,"Hybrid remote in New York, NY 10010","$125,000 - $170,000 a year",unknown
SENIOR DATA SCIENCE ENGINEER (RISK & FRAUD),DraftKings,"Boston, MA 02116 (Back Bay area)",Estimated $116K - $147K a year,full-time
Software Engineer - Data Infrastructure,Applied Intuition,"Mountain View, CA","$65,000 - $400,000 a year",unknown
SENIOR DATA SCIENCE ENGINEER (RISK & FRAUD),DraftKings,"Boston, MA 02116 (Back Bay area)",Estimated $116K - $147K a year,full-time
Data Engineer- NYC or CT,Massar Capital Management,"New York, NY","$125,000 - $200,000 a year",unknown
Senior Data Engineer (Remote-First),EWC Corporate LLC,Remote in Texas,Estimated $111K - $140K a year,full-time
Senior Data Engineer - Onsite,EOS IT Solutions,"Burlingame, CA","$120,000 - $140,000 a year",full-time
Senior Data Engineer,Tangent Logic,"New York, NY",Estimated $140K - $177K a year,unknown
Senior Data Engineer,Smiley Technologies Inc,Remote,Estimated $114K - $144K a year,full-time
Data Engineer Administrator,North Carolina Dept of Revenue,North Carolina,"$75,814 - $113,721 a year",full-time
Senior Data Engineer I,Kirkland and Ellis,"Hybrid remote in Dallas, TX 75205",Estimated $112K - $142K a year,full-time
Senior Data Engineer,Integra Connect,Remote,Estimated $108K - $137K a year,full-time
Data Engineer - USDS,TikTok,"Seattle, WA","$129,960 - $246,240 a year",unknown
IT Senior Data Engineer - Remote,Mayo Clinic,"Remote in Rochester, MN 55901","$131,602 - $190,861 a year",full-time
Software and Data Engineer,TGS Management Company,"Irvine, CA 92604",Estimated $108K - $136K a year,full-time
Data Engineer,4A CONSULTING LLC,"Remote in Ellicott City, MD 21043",Estimated $96.7K - $122K a year,full-time
Data Engineer (Immediate Opening),IDEA Public Schools,"Fort Worth, TX 76107 (Arlington Heights area)",Estimated $73.5K - $93.1K a year,full-time
Senior Software Engineer (Backend Data),Turo,"Remote in San Francisco, CA",Estimated $156K - $197K a year,full-time
Data Engineer - USDS,TikTok,"Seattle, WA","$129,960 - $246,240 a year",unknown
IT Senior Data Engineer - Remote,Mayo Clinic,"Remote in Rochester, MN 55901","$131,602 - $190,861 a year",full-time
Software and Data Engineer,TGS Management Company,"Irvine, CA 92604",Estimated $108K - $136K a year,full-time
Senior Software Engineer (Backend Data),Turo,"Remote in San Francisco, CA",Estimated $156K - $197K a year,full-time
Data Engineer,4A CONSULTING LLC,"Remote in Ellicott City, MD 21043",Estimated $96.7K - $122K a year,full-time
Data Engineer (Immediate Opening),IDEA Public Schools,"Fort Worth, TX 76107 (Arlington Heights area)",Estimated $73.5K - $93.1K a year,full-time
Senior Data Engineer (Data Platform),Atlas Labs,Remote,"$160,000 - $205,000 a year",unknown
"Principal, Data Management Engineer",BNY Mellon,"Pittsburgh, PA 15219 (Central Business District area)",Estimated $153K - $194K a year,unknown
Senior Materials Engineer - Data Management,TerraPower,"Remote in Bellevue, WA 98008","$105,237 - $154,855 a year",full-time
Azure Data Hub Automation and Support Engineer,ProIT Inc.,"Hybrid remote in Lorain, OH 44052","$120,338 - $130,095 a year",full-time
Data Engineer,United Digestive,"Atlanta, GA 30309 (Midtown area)",Estimated $92.5K - $117K a year,full-time
Data Engineer,FORTUNE,"New York, NY 10018 (Garment District area)","$90,000 - $110,000 a year",unknown
Data Engineer,Core4ce,"Herndon, VA",Estimated $106K - $134K a year,full-time
Data Analytics Engineer - Anlst III,Allstate,"Remote in Chicago, IL",Estimated $86.9K - $110K a year,unknown
Senior Cloud Data Engineer,Voya Financial,"Windsor, CT",Estimated $104K - $132K a year,full-time
Lead Data Engineer,RxSense,"Remote in Boston, MA 02110","$116,000 - $186,000 a year",unknown
Senior Data Engineer,Macmillan Learning,"New York, NY 10271 (Financial District area)","$140,000 - $155,000 a year",full-time
"Engineer IV, Data Engineering – 6 Month Contract",TSP,"Cranberry Township, PA 16066",Estimated $111K - $140K a year,contract
Data Engineer with PowerBI,Bradley Corporation,"Menomonee Falls, WI 53051","$95,000 - $120,000 a year",full-time
Sr Data Engineer - Data Platform,Sift,"Remote in San Francisco, CA 94105","$142,000 - $190,000 a year",unknown
Data Engineer,"World Wide Technology Holding, LLC","Arlington, VA 20330",Estimated $118K - $150K a year,unknown
Data Platform Engineer (REMOTE),GEICO,"Remote in Chevy Chase, MD 20815","$82,000 - $185,000 a year",full-time
Junior Data Engineer,Open Road Media,"New York, NY 10038 (Financial District area)","$55,000 - $75,000 a year",full-time
Data Engineer,OneSource Regulatory,"Seattle, WA 98101 (Downtown area)",Estimated $101K - $128K a year,full-time
Data Engineer for NRG,Aimic Inc,Texas,Estimated $113K - $143K a year,unknown
Wire data engineer,Techspace Solutions,"Fort Worth, TX 76102",Estimated $105K - $133K a year,full-time
AWS Data Engineer (Remote),Cayuse Holdings,Remote,"$115,000 - $125,000 a year",full-time
On-Site Electrical Engineer - Data Center,Olsson,"Phoenix, AZ 85020 (Camelback East area)",Estimated $76.5K - $96.9K a year,full-time
Data Engineer,Rockstar Games New York & New England,"Hybrid remote in New York, NY","$89,500 - $119,400 a year",full-time
Data Engineer,Colsh Consultants,"Bridgewater, NJ",Estimated $111K - $140K a year,unknown
Senior Staff Data Engineer,Dassault Systèmes,"Remote in New York, NY",Estimated $136K - $172K a year,unknown
Data Engineer,Physicians Mutual,"Omaha, NE 68131",Estimated $93.8K - $119K a year,full-time
IT Data Warehouse Engineer,ABC® Supply Co. Inc.,Remote,Estimated $95.4K - $121K a year,full-time
"Software Engineer, Data Platform",SentiLink,Remote,"$120,000 - $185,000 a year",unknown
Senior Data Engineer,"Press Ganey Associates, Inc.",Remote,"$96,000 - $150,000 a year",unknown
Data Engineer 030522,Rite Pros,"Portland, ME 04101 (Downtown area)",Estimated $94K - $119K a year,unknown
Data and Control Systems Engineer II,Relativity Space,"Cape Canaveral, FL","$108,000 - $138,000 a year",unknown
Cyber Security Analytics and Data Engineer,BNY Mellon,"Pittsburgh, PA 15219 (Central Business District area)",Estimated $101K - $128K a year,unknown
"Lead Software Engineer, Data Pipeline",Klaviyo,"Remote in Boston, MA",Estimated $159K - $201K a year,unknown
Lead Systems Engineer - Flight Data Analytics,L3Harris Technologies,"Remote in Saint Petersburg, FL","$104,500 - $193,500 a year",unknown
Software Engineer | Data Platform,Ramp Financial,"Remote in New York, NY",Estimated $135K - $171K a year,unknown
Principal Data Engineer,Aspen Dental,"Chicago, IL 60607 (West Town area)",unknown,full-time
Data Engineer II - Tech Lead,"The Travelers Companies, Inc.","Hartford, CT","$113,900 - $188,000 a year",full-time
Senior System & Data Engineer,Columbia University,"Lamont, NY","$103,000 - $113,000 a year",full-time
AWS Data Migration Engineer,Algonomy,"Philadelphia, PA",Estimated $123K - $155K a year,unknown
Systems Engineer - Associate (Data Protection),UPMC,"Pittsburgh, PA 15213 (North Oakland area)",$29.93 - $45.44 an hour,full-time
Lead Data Engineer/Lead ML Engineer,Adobe,"San Jose, CA 95110 (Downtown area)","$177,300 - $346,000 a year",full-time
Software Engineer - Data,Deep 6 AI,"Remote in Pasadena, CA","$130,000 - $140,000 a year",full-time
Data Warehouse Engineer,Nexlogica,"Norwalk, CA",Estimated $117K - $149K a year,unknown
Data Engineer,BrightFarms Inc,"Irvington, NY 10533",Estimated $83.7K - $106K a year,full-time
Software Engineer – Data Analytics,Endera,"Pomona, CA 91768","$90,000 - $150,000 a year",full-time
Data Engineer II,2K,"Austin, TX",Estimated $113K - $143K a year,unknown
Sr. Software Engineer (Data),FreeWheel,"Philadelphia, PA 19103","$90,654 - $212,469 a year",unknown
Mid-Senior Data Engineer,Vaco,"Hybrid remote in Brentwood, TN","$110,000 - $120,000 a year",full-time
Senior Data Engineer,Object Technology Solution,"Irving, TX 75039 (Freeport/Hackberry area)",Estimated $118K - $149K a year,contract
Data Warehouse Engineer,Busey Bank,"Creve Coeur, MO 63141",Estimated $88.5K - $112K a year,full-time
Data Engineer,Lineage Logistics,"Novi, MI",Estimated $91.1K - $115K a year,full-time
Azure Data Engineer,Aspirant,"Pittsburgh, PA 15212 (Allegheny Center area)",Estimated $86.5K - $109K a year,full-time
Business Intelligence Data Engineer,Barnes & Noble,"New York, NY 10003 (Flatiron area)","$140,000 - $160,000 a year",full-time
Associate Data Systems Engineer,CEP Global,"Hybrid remote in San Francisco, CA","$113,636 a year",full-time
Cybersecurity Engineer Level 1-7 Data Security,Metropolitan Transportation Authority,"New York, NY 10004 (Financial District area)","$82,857 - $105,000 a year",unknown
Hiring for DotNet Developer and Data Engineer on W2,Excelon Solutions,Remote,"$83,944 - $190,600 a year",full-time
Data Engineer,Neogen,Remote,Estimated $89.8K - $114K a year,full-time
Associate Data Engineer,Amentum,Remote,Estimated $80K - $101K a year,full-time
AWS Cloud Data Engineer,Broadview Federal Credit Union,"Albany, NY","$97,371 - $126,582 a year",full-time
Sr. Software Engineer (Data),FreeWheel,"Philadelphia, PA 19103","$90,654 - $212,469 a year",unknown
IT Data Integration Engineer/Architect,Arch Staffing & Consulting,"Hybrid remote in Palm Beach Gardens, FL 33418","$120,000 - $130,000 a year",unknown
Senior Data Engineer,Object Technology Solution,"Irving, TX 75039 (Freeport/Hackberry area)",Estimated $118K - $149K a year,contract
Data Warehouse Engineer,Busey Bank,"Creve Coeur, MO 63141",Estimated $88.5K - $112K a year,full-time
Data Engineer,Lineage Logistics,"Novi, MI",Estimated $91.1K - $115K a year,full-time
Associate Data Systems Engineer,CEP Global,"Hybrid remote in San Francisco, CA","$113,636 a year",full-time
Azure Data Engineer,Aspirant,"Pittsburgh, PA 15212 (Allegheny Center area)",Estimated $86.5K - $109K a year,full-time
Business Intelligence Data Engineer,Barnes & Noble,"New York, NY 10003 (Flatiron area)","$140,000 - $160,000 a year",full-time
Senior Data Engineer,Epic Games,"Cary, NC",Estimated $126K - $160K a year,unknown
Data Engineer,"Octapharma Plasma, Inc.","Charlotte, NC 28273 (Olde Whitehall area)",Estimated $85.9K - $109K a year,full-time
Lead Data Engineer,Prolify Tech,"San Francisco, CA 94103 (South of Market area)","$113,542 - $200,000 a year",full-time
Junior Data Engineer,Open Systems Technologies Corporation,"Arlington, VA",Estimated $75.1K - $95.1K a year,unknown
Data Engineer,Dealer Tire,Remote,"$90,000 - $120,000 a year",full-time
Data Science Engineer,Abbott Laboratories,"Plano, TX",unknown,full-time
Sr. Data Network Engineer,Techadox,"Pittsburgh, PA 15219 (Central Business District area)","$90,000 - $110,000 a year",full-time
